PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
33ZXNXD9___.pdf,33ZXNXD9___.pdf,Completed,1,1,0,0,200,90,0.37,
34HI4Q57__Art2feedbrains - 2020 - Ron English.pdf,34HI4Q57__Art2feedbrains - 2020 - Ron English.pdf,Completed,1,1,0,0,200,90,0.31,
37M5RN2L__Mural - 2018 - Interview with Ron English(4).pdf,37M5RN2L__Mural - 2018 - Interview with Ron English(4).pdf,Completed,1,1,0,0,200,90,0.18,
38GWFXM9__Geoff - 2009 - Grin by Ron English.pdf,38GWFXM9__Geoff - 2009 - Grin by Ron English.pdf,Completed,1,1,0,0,200,90,0.22,
38S5KDGE__Jack - 2009 - SEEN FAMILY TRADITION @ DE LA BARRACUDA.pdf,38S5KDGE__Jack - 2009 - SEEN FAMILY TRADITION @ DE LA BARRACUDA.pdf,Completed,2,2,0,0,200,90,0.46,
39Y87K69__Keller - 2010 - Ron English Pop Up Factory at Opera Gallery.pdf,39Y87K69__Keller - 2010 - Ron English Pop Up Factory at Opera Gallery.pdf,Completed,2,2,0,0,200,90,0.52,
3A2ZMILF__Fifty 24SF Gallery - 2008 - Ron English.pdf,3A2ZMILF__Fifty 24SF Gallery - 2008 - Ron English.pdf,Completed,2,2,0,0,200,90,0.47,
3ADXS29L__Trippe - 2009 - Ron English in Italy.pdf,3ADXS29L__Trippe - 2009 - Ron English in Italy.pdf,Completed,4,4,0,0,200,90,0.85,
3BH5I668___.pdf,3BH5I668___.pdf,Completed,2,2,0,0,200,90,1.77,
3BR275WN__Schwarzstein - 2016 - Ron English “NeoNature We Are the New They” at New CHG Space in Boyle Heights.pdf,3BR275WN__Schwarzstein - 2016 - Ron English “NeoNature We Are the New They” at New CHG Space in Boyle Heights.pdf,Completed,2,2,0,0,200,90,0.47,
3D2XRGZB__Brooklyn Street Art - 2018 - What’s On The Street In Madrid A Quick Survey.pdf,3D2XRGZB__Brooklyn Street Art - 2018 - What’s On The Street In Madrid A Quick Survey.pdf,Completed,1,1,0,0,200,90,0.23,
"3EIMMHLJ__Brooklyn Street Art - 2012 - Opera Gallery presents Ron English “Crucial Fiction” (Manhattan, NYC).pdf","3EIMMHLJ__Brooklyn Street Art - 2012 - Opera Gallery presents Ron English “Crucial Fiction” (Manhattan, NYC).pdf",Completed,2,2,0,0,200,90,0.48,
3F32JIX6__Shi - 2016 - A Pot-Themed Bodega Wraps New York City in a Cloud of Pop Art.pdf,3F32JIX6__Shi - 2016 - A Pot-Themed Bodega Wraps New York City in a Cloud of Pop Art.pdf,Completed,5,5,0,0,200,90,1.29,
"3GXZWC7L__Sampsel Preston Photography - 2008 - Saturday June 6th, Happy Birthday To Popaganda Artist Ron English, That's Today!.pdf","3GXZWC7L__Sampsel Preston Photography - 2008 - Saturday June 6th, Happy Birthday To Popaganda Artist Ron English, That's Today!.pdf",Completed,1,1,0,0,200,90,0.34,
3IU6H4ID__Betz - 1992 - Painting should be a lively art.pdf,3IU6H4ID__Betz - 1992 - Painting should be a lively art.pdf,Completed,1,1,0,0,200,90,1.02,
3IXBXQG5__Fox - 2016 - Ron English NeoNature @ Corey Helford Gallery.pdf,3IXBXQG5__Fox - 2016 - Ron English NeoNature @ Corey Helford Gallery.pdf,Completed,1,1,0,0,200,90,0.24,
3JXTLFKT__Moyer - Unknown - Pop Surrealism - Controversial artist brings social commentary show to McAllen.pdf,3JXTLFKT__Moyer - Unknown - Pop Surrealism - Controversial artist brings social commentary show to McAllen.pdf,Completed,1,1,0,0,200,90,0.56,
3K35XGMY___.pdf,3K35XGMY___.pdf,Completed,3,3,0,0,200,90,1.5,
3LLW5VJY__Caras - 2012 - Presidente Barack Obama ganha boneco em versão Incrível Hulk.pdf,3LLW5VJY__Caras - 2012 - Presidente Barack Obama ganha boneco em versão Incrível Hulk.pdf,Completed,1,1,0,0,200,90,0.24,
3MDRPDCJ__Mixed Grill - 2016 - Ron English maakt varianten op Guernica van Picasso.pdf,3MDRPDCJ__Mixed Grill - 2016 - Ron English maakt varianten op Guernica van Picasso.pdf,Completed,4,4,0,0,200,90,1.59,
"3MF3HQXA__Huete - 2015 - Corpocracy at the Station Museum, Houston(2).pdf","3MF3HQXA__Huete - 2015 - Corpocracy at the Station Museum, Houston(2).pdf",Completed,3,3,0,0,200,90,0.75,
3N366C3L__Korkidis - 2012 - Ron English Launches Virgin Romance Print With The Outsiders.pdf,3N366C3L__Korkidis - 2012 - Ron English Launches Virgin Romance Print With The Outsiders.pdf,Completed,1,1,0,0,200,90,0.29,
3NSQG7IT__English - 2006 - Ron English-Opera Gallery-New York(2).pdf,3NSQG7IT__English - 2006 - Ron English-Opera Gallery-New York(2).pdf,Completed,1,1,0,0,200,90,0.26,
3P5EQ3W6__Corey Helford Gallery - 2008 - Ron English(2).pdf,3P5EQ3W6__Corey Helford Gallery - 2008 - Ron English(2).pdf,Completed,3,3,0,0,200,90,0.83,
3PSATIV7___.pdf,3PSATIV7___.pdf,Completed,3,3,0,0,200,90,1.76,
3S3WS5U4__Art news march 1991.pdf,3S3WS5U4__Art news march 1991.pdf,Completed,2,2,0,0,200,90,1.04,
3TMUXIHD__Houston Press - 1992 - Ron English Pop America.pdf,3TMUXIHD__Houston Press - 1992 - Ron English Pop America.pdf,Completed,1,1,0,0,200,90,0.44,
3U9KRHU8__Art Design Café - 2009 - Green Day art show Ron English. 21st century breakdown grin.pdf,3U9KRHU8__Art Design Café - 2009 - Green Day art show Ron English. 21st century breakdown grin.pdf,Completed,1,1,0,0,200,90,0.24,
3URMWJFK__The Herald-Palladium - 2013 - Ron English at WFF(2).pdf,3URMWJFK__The Herald-Palladium - 2013 - Ron English at WFF(2).pdf,Completed,1,1,0,0,200,90,0.3,
3VIR28TF__Estiler - 2018 - Ron English Brings Delusionville to New York City's Allouche Gallery.pdf,3VIR28TF__Estiler - 2018 - Ron English Brings Delusionville to New York City's Allouche Gallery.pdf,Completed,3,3,0,0,200,90,0.82,
3WW8RK8U__Armand - 2015 - 10 Lyric III Instagrams To Follow – Musical Group Show Opens August 14th.pdf,3WW8RK8U__Armand - 2015 - 10 Lyric III Instagrams To Follow – Musical Group Show Opens August 14th.pdf,Completed,1,1,0,0,200,90,0.24,
3X2MM4J4__Goh - 2012 - Ron English Crucial Fiction @ Opera Gallery.pdf,3X2MM4J4__Goh - 2012 - Ron English Crucial Fiction @ Opera Gallery.pdf,Completed,5,5,0,0,200,90,1.54,
3X3DCKK9__Gondiola - 2007 - Guerrilla in Our Midst.pdf,3X3DCKK9__Gondiola - 2007 - Guerrilla in Our Midst.pdf,Completed,2,2,0,0,200,90,1.32,
3YJ3BJHP__Galperina - 2012 - Obama the Incredible Hulk by Ron English.pdf,3YJ3BJHP__Galperina - 2012 - Obama the Incredible Hulk by Ron English.pdf,Completed,1,1,0,0,200,90,0.26,
3YV4QEGG___.pdf,3YV4QEGG___.pdf,Completed,1,1,0,0,200,90,0.05,
3YXCN84E___.pdf,3YXCN84E___.pdf,Completed,1,1,0,0,200,90,0.69,
